Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns,injuryStatus,percent_owned,percent_started,avg_points,injured
Bijan Robinson,ATL,RB,13.2,3,0.0,0.0,0.0,0.0,16.0,31.0,1.0,0.0,2.0,2.0,21.0,0.0,ACTIVE,0.0,0.0,0.0,False
Kyren Williams,LAR,RB,31.6,3,0.0,0.0,0.0,0.0,24.0,89.0,2.0,0.0,2.0,2.0,27.0,1.0,ACTIVE,0.0,0.0,0.0,False
Mike Evans,TB,WR,3.7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,17.0,0.0,ACTIVE,0.0,0.0,0.0,False
Alvin Kamara,NO,RB,15.7,3,0.0,0.0,0.0,0.0,26.0,87.0,0.0,0.0,3.0,3.0,40.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Jalen Hurts,PHI,QB,10.94,3,29.0,311.0,0.0,1.0,8.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Evan Engram,JAX,TE,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Calvin Ridley,TEN,WR,1.9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,0.0,ACTIVE,0.0,0.0,0.0,False
Brandon Aubrey,DAL,K,12.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Browns D/ST,CLE,D/ST,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0.0,0.0,0.0,False
Dak Prescott,DAL,QB,29.86,3,28.0,379.0,2.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Christian Kirk,JAX,WR,15.9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,79.0,0.0,ACTIVE,0.0,0.0,0.0,False
Jaxon Smith-Njigba,SEA,WR,6.9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,39.0,0.0,ACTIVE,0.0,0.0,0.0,False
Brian Robinson Jr.,WSH,RB,10.7,3,0.0,0.0,0.0,0.0,16.0,33.0,1.0,0.0,1.0,1.0,4.0,0.0,ACTIVE,0.0,0.0,0.0,False
Jaylen Warren,PIT,RB,1.1,3,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,1.0,-4.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Devin Singletary,NYG,RB,18.8,3,0.0,0.0,0.0,0.0,16.0,65.0,1.0,1.0,4.0,4.0,43.0,0.0,ACTIVE,0.0,0.0,0.0,False
Dallas Goedert,PHI,TE,27.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,170.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Breece Hall,NYJ,RB,18.3,3,0.0,0.0,0.0,0.0,16.0,54.0,1.0,1.0,5.0,4.0,29.0,0.0,ACTIVE,0.0,0.0,0.0,False
Saquon Barkley,PHI,RB,33.6,3,0.0,0.0,0.0,0.0,17.0,147.0,2.0,0.0,4.0,4.0,9.0,0.0,ACTIVE,0.0,0.0,0.0,False
Marvin Harrison Jr.,ARI,WR,17.4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,64.0,1.0,ACTIVE,0.0,0.0,0.0,False
