"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"DeeJay Dallas","SEA","RB","0.6","0.6","1","0","0","0","0","1","6","0","0","2","0","0","0"
"Kadarius Toney","KC","WR","0.6","0.6","1","0","0","0","0","1","6","0","0","0","0","0","0"
"Raheem Blackshear","CAR","RB","0.6","0.6","1","0","0","0","0","1","6","0","0","0","0","0","0"
"Michael Burton","DEN","RB","0.4","0.4","1","0","0","0","0","1","4","0","0","0","0","0","0"
"Ty Montgomery II","NE","WR","0.2","0.2","1","0","0","0","0","1","2","0","0","0","0","0","0"
"Mike White","MIA","QB","0.1","0.1","1","1","3","0","0","0","0","0","0","0","0","0","0"
"Matthew Slater","NE","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Julio Jones","PHI","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Tannehill","TEN","QB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Woods","HOU","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Juszczyk","SF","RB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Keith Smith","ATL","RB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Conley","SF","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamison Crowder","WAS","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Blake Bell","KC","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"C.J. Uzomah","NYJ","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Manhertz","DEN","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacoby Brissett","WAS","QB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Dwayne Washington","DEN","RB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Stephen Anderson","LAC","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Mo Alie-Cox","IND","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah McKenzie","IND","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Noah Brown","HOU","WR","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0"
"David Moore","TB","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Pharaoh Brown","NE","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Royce Freeman","LAR","RB","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"Mike Gesicki","NE","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Gallup","DAL","WR","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Justin Watson","KC","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Durham Smythe","MIA","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
